"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","금전및 유가증권건수","금전및 유가증권금액","도서및 물품건수","도서및 물품금액","수목시설및 재산건수","수목시설및 재산금액","건수합계","금액합계","학교교육시설 보수확충금액","교육용기자재 및도서금액","학교체육학예 활동금액","학생복지및 자치활동지원금액","지출금액합계"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001634","서포초등학교","02","공립","N","","14","3800000","0","0","0","0","14","3800000","0","0","0","3700000","3700000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001638","삼천포초등학교신수도분교장","02","공립","Y","본교 통합 운영","","","","","","","","","","","","",""
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001644","곤명초등학교","02","공립","N","","16","3100000","0","0","0","0","16","3100000","0","0","2000000","3100000","5100000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001645","용산초등학교","02","공립","N","","5","8400000","0","0","0","0","5","8400000","0","2020500","4782610","1800000","8603110"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001646","용현초등학교","02","공립","N","","10","13650000","0","0","0","0","10","13650000","0","200000","4400000","8750000","13350000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001648","정동초등학교","02","공립","N","","21","5520000","0","0","0","0","21","5520000","0","0","1000000","5500000","6500000"
"경상남도교육청","사천교육지원청","경상남도 사천시","S160001651","축동초등학교","02","공립","N","","6","7000000","0","0","0","0","6","7000000","0","0","0","12000000","12000000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001698","금서초등학교","02","공립","N","","8","3700000","0","0","0","0","8","3700000","0","0","0","3700000","3700000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001704","단계초등학교","02","공립","N","","15","10050000","0","0","0","0","15","10050000","0","0","0","11640000","11640000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001706","단성초등학교","02","공립","N","","25","6800000","0","0","0","0","25","6800000","0","0","0","6900000","6900000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001712","덕산초등학교","02","공립","N","","11","15860000","0","0","0","0","11","15860000","0","7560000","0","3900000","11460000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001713","도산초등학교","02","공립","N","","13","3400000","0","0","0","0","13","3400000","0","0","0","5200000","5200000"
"경상남도교육청","산청교육지원청","경상남도 산청군","S160001719","산청초등학교","02","공립","N","","13","8400000","0","0","0","0","13","8400000","0","4234540","0","11000000","15234540"
